Location,Img,AUC,max,mean,max frame diff,std,Motion,Confidence,
Baylor,D:\Baylor\Patient4\Diabetic_Ulcers\Study12\Post.L.Foot\ImageColl_4,0.191918977,0.003799798,0.000488971,0.003496439,0.000639064,1,1,
Baylor,D:\Baylor\Patient5\Diabetic_Ulcers\Study13\Post.R.Foot\ImageColl_1,0.121816315,0.002552423,0.000312634,0.001433673,0.000432628,1,1,
Baylor,D:\Baylor\Patient5\Diabetic_Ulcers\Study13\Post.R.Foot\ImageColl_2,0.046501902,0.00052479,0.000119527,0.000356603,9.56E-05,1,0,
Baylor,D:\Baylor\Patient5\Diabetic_Ulcers\Study13\Post.R.Foot\ImageColl_3,0.071381374,0.001029575,0.00018333,0.000983211,0.000189516,1,1,
Baylor,D:\Baylor\Patient6\Chronic_Wounds\Study14\Ant.L.Leg\ImageColl_2,0.088260323,0.001391267,0.000226795,0.001286493,0.000211045,1,1,
Baylor,D:\Baylor\Patient6\Chronic_Wounds\Study14\Ant.L.Leg\ImageColl_3,0.049320997,0.000363091,0.000126651,0.000184442,6.11E-05,1,1,
Baylor,D:\Baylor\Patient6\Chronic_Wounds\Study14\Ant.L.Leg\ImageColl_4,0.062791881,0.000613842,0.00016087,0.000369654,9.16E-05,1,1,
Baylor,D:\Baylor\Patient9\Diabetic_Ulcers\Study17\Ant.L.Foot\ImageColl_1,0.188969308,0.002002028,0.000483965,0.001418342,0.000389458,1,1,
Baylor,D:\Baylor\Patient9\Diabetic_Ulcers\Study17\Ant.L.Foot\ImageColl_2,0.134392773,0.001682801,0.000344974,0.001491048,0.0002825,1,1,
Baylor,D:\Baylor\Patient9\Diabetic_Ulcers\Study17\Ant.L.Foot\ImageColl_4,2.081214305,0.033909471,0.005364001,0.01989575,0.00877411,1,1,
Baylor,D:\Baylor\Patient9\Diabetic_Ulcers\Study17\Ant.L.Foot\ImageColl_5,0.268688869,0.002850436,0.000685751,0.001739936,0.000556506,1,1,
Baylor,D:\Baylor\Patient9\Diabetic_Ulcers\Study17\Ant.L.Foot\ImageColl_6,0.159945018,0.001184513,0.000408651,0.001018019,0.000294575,1,1,
Baylor,D:\Baylor\Patient10\Diabetic_Ulcers\Study18\Ant.L.Foot\ImageColl_1,0.105014259,0.00151027,0.000266268,0.00086347,0.000255232,1,1,
Baylor,D:\Baylor\Patient10\Diabetic_Ulcers\Study18\Ant.L.Foot\ImageColl_2,0.13171767,0.001358881,0.000335487,0.001183408,0.000308207,1,1,
Baylor,D:\Baylor\Patient11\Diabetic_Ulcers\Study19\Ant.R.Foot\ImageColl_1,0.0308043,0.000409666,7.83E-05,0.000315063,6.76E-05,1,1,
Baylor,D:\Baylor\Patient11\Diabetic_Ulcers\Study19\Ant.R.Foot\ImageColl_3,0.03561435,0.000199713,9.14E-05,0.000176381,4.15E-05,1,0,
Baylor,D:\Baylor\Patient12\Diabetic_Ulcers\Study22\Ant.L.Foot\ImageColl_1,0.258949103,0.008000991,0.000664805,0.007443637,0.000998625,1,1,
WakeForest,E:\WakeForest\Patient3\Burn\Study6\Ant.R.Hand\ImageColl_2,0.585312439,0.004730628,0.001485347,0.004500776,0.001165827,1,1,Ant.R.Hand
WakeForest,E:\WakeForest\Patient3\Burn\Study6\Post.L.U.Trunk\ImageColl_1,1.507149716,0.022790046,0.003876477,0.017625436,0.003031681,1,1,Post.L.U.Trunk
WakeForest,E:\WakeForest\Patient3\Burn\Study6\Post.L.U.Trunk\ImageColl_2,1.092607782,0.005064952,0.002799522,0.004158531,0.001375097,1,1,Post.L.U.Trunk
WakeForest,E:\WakeForest\Patient3\Burn\Study6\Post.R.Hand\ImageColl_3,0.039016876,0.000360318,9.93E-05,0.000328405,7.52E-05,1,1,Post.R.Hand
WakeForest,Patient4_ImgColl1,,,,,,1,1,
